Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Mobile,,,2018-09-17 21:21:39,2018-09-17 21:33:20,"11m - 40,875s",PASSED
,,,,,,
Test Cases/Android/TC/TC_LoginApp,,,2018-09-17 21:21:39,2018-09-17 21:23:09,"1m - 29,494s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:21:39,2018-09-17 21:21:39,"0,022s",PASSED
callTestCase,,,2018-09-17 21:21:40,2018-09-17 21:22:37,"57,001s",PASSED
callTestCase,,,2018-09-17 21:22:37,2018-09-17 21:22:55,"18,258s",PASSED
callTestCase,,,2018-09-17 21:22:55,2018-09-17 21:23:07,"11,822s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:23:07,2018-09-17 21:23:07,"0,015s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Configuration,,,2018-09-17 21:23:09,2018-09-17 21:24:44,"1m - 34,808s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:23:09,2018-09-17 21:23:09,"0,000s",PASSED
callTestCase,,,2018-09-17 21:23:09,2018-09-17 21:24:26,"1m - 16,873s",PASSED
callTestCase,,,2018-09-17 21:24:26,2018-09-17 21:24:37,"11,075s",PASSED
callTestCase,,,2018-09-17 21:24:37,2018-09-17 21:24:37,"0,346s",PASSED
callTestCase,,,2018-09-17 21:24:37,2018-09-17 21:24:42,"4,277s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:24:42,2018-09-17 21:24:42,"0,041s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Historico,,,2018-09-17 21:24:44,2018-09-17 21:26:02,"1m - 17,998s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:24:44,2018-09-17 21:24:44,"0,000s",PASSED
callTestCase,,,2018-09-17 21:24:44,2018-09-17 21:25:44,"1m - 0,388s",PASSED
callTestCase,,,2018-09-17 21:25:44,2018-09-17 21:25:55,"10,681s",PASSED
callTestCase,,,2018-09-17 21:25:55,2018-09-17 21:25:55,"0,383s",PASSED
callTestCase,,,2018-09-17 21:25:55,2018-09-17 21:26:00,"4,269s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:26:00,2018-09-17 21:26:00,"0,045s",PASSED
,,,,,,
Test Cases/Android/TC/TC_Users,,,2018-09-17 21:26:02,2018-09-17 21:27:26,"1m - 24,433s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:26:02,2018-09-17 21:26:02,"0,015s",PASSED
callTestCase,,,2018-09-17 21:26:02,2018-09-17 21:27:08,"1m - 5,792s",PASSED
callTestCase,,,2018-09-17 21:27:08,2018-09-17 21:27:19,"11,361s",PASSED
callTestCase,,,2018-09-17 21:27:19,2018-09-17 21:27:20,"0,946s",PASSED
callTestCase,,,2018-09-17 21:27:20,2018-09-17 21:27:24,"4,112s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:27:24,2018-09-17 21:27:24,"0,017s",PASSED
,,,,,,
Test Cases/Android/TC/TC_VUE,,,2018-09-17 21:27:26,2018-09-17 21:28:49,"1m - 23,225s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:27:26,2018-09-17 21:27:26,"0,015s",PASSED
callTestCase,,,2018-09-17 21:27:26,2018-09-17 21:28:32,"1m - 5,538s",PASSED
callTestCase,,,2018-09-17 21:28:32,2018-09-17 21:28:43,"10,769s",PASSED
callTestCase,,,2018-09-17 21:28:43,2018-09-17 21:28:43,"0,478s",PASSED
callTestCase,,,2018-09-17 21:28:43,2018-09-17 21:28:47,"4,186s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:28:47,2018-09-17 21:28:47,"0,058s",PASSED
,,,,,,
Test Cases/Android/TC/TC_FUSEConfig,,,2018-09-17 21:28:49,2018-09-17 21:30:26,"1m - 37,178s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:28:49,2018-09-17 21:28:49,"0,010s",PASSED
callTestCase,,,2018-09-17 21:28:49,2018-09-17 21:29:55,"1m - 5,998s",PASSED
callTestCase,,,2018-09-17 21:29:55,2018-09-17 21:30:06,"10,566s",PASSED
callTestCase,,,2018-09-17 21:30:06,2018-09-17 21:30:06,"0,455s",PASSED
callTestCase,,,2018-09-17 21:30:06,2018-09-17 21:30:20,"13,719s",PASSED
callTestCase,,,2018-09-17 21:30:20,2018-09-17 21:30:24,"4,268s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:30:24,2018-09-17 21:30:24,"0,014s",PASSED
,,,,,,
Test Cases/Android/TC/TC_VUEConfig,,,2018-09-17 21:30:26,2018-09-17 21:33:20,"2m - 53,168s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-17 21:30:26,2018-09-17 21:30:26,"0,000s",PASSED
callTestCase,,,2018-09-17 21:30:27,2018-09-17 21:31:36,"1m - 9,338s",PASSED
callTestCase,,,2018-09-17 21:31:36,2018-09-17 21:31:46,"10,495s",PASSED
callTestCase,,,2018-09-17 21:31:46,2018-09-17 21:31:47,"0,377s",PASSED
callTestCase,,,2018-09-17 21:31:47,2018-09-17 21:32:01,"14,477s",PASSED
callTestCase,,,2018-09-17 21:32:01,2018-09-17 21:33:14,"1m - 12,544s",PASSED
callTestCase,,,2018-09-17 21:33:14,2018-09-17 21:33:17,"3,601s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-17 21:33:17,2018-09-17 21:33:17,"0,017s",PASSED
