Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_VETXML_REST,,,2018-09-21 11:04:54,2018-09-21 11:05:04,"9,380s",FAILED
,,,,,,
"Test Cases/VETXML_Rest/TC/1.VETXML - Solitud de consulta de un TEST de un paciente (VS2, VSPRO, HM5)",,,2018-09-21 11:04:55,2018-09-21 11:05:00,"5,072s",FAILED
Start listener action : sampleBeforeTestCase,,,2018-09-21 11:04:55,2018-09-21 11:04:55,"0,030s",PASSED
callTestCase,,,2018-09-21 11:04:55,2018-09-21 11:04:58,"2,581s",FAILED
Start listener action : sampleAfterTestCase,,,2018-09-21 11:04:58,2018-09-21 11:04:58,"0,025s",PASSED
,,,,,,
Test Cases/VETXML_Rest/TC/2.FUSE Webapp - Verificar el estado,,,2018-09-21 11:05:00,2018-09-21 11:05:04,"3,739s",PASSED
Start listener action : sampleBeforeTestCase,,,2018-09-21 11:05:00,2018-09-21 11:05:00,"0,014s",PASSED
callTestCase,,,2018-09-21 11:05:00,2018-09-21 11:05:02,"1,532s",PASSED
Start listener action : sampleAfterTestCase,,,2018-09-21 11:05:02,2018-09-21 11:05:02,"0,019s",PASSED
