Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Web_FUSE,Chrome 68.0.3440.106,,2018-09-19 09:14:27,2018-09-19 09:15:22,"54,971s",FAILED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewOwner,Chrome 68.0.3440.106,,2018-09-19 09:14:27,2018-09-19 09:15:10,"43,452s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-19 09:14:27,2018-09-19 09:14:27,"0,011s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-19 09:14:27,2018-09-19 09:14:35,"7,529s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-19 09:14:35,2018-09-19 09:14:36,"0,800s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-19 09:14:36,2018-09-19 09:15:08,"32,668s",FAILED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-19 09:15:08,2018-09-19 09:15:08,"0,069s",PASSED
,,,,,,
Test Cases/Web/FUSE/TC/TC_NewTest,Chrome 68.0.3440.106,,2018-09-19 09:15:10,2018-09-19 09:15:22,"11,144s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-19 09:15:10,2018-09-19 09:15:10,"0,023s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-19 09:15:11,2018-09-19 09:15:17,"6,608s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-19 09:15:17,2018-09-19 09:15:18,"0,408s",PASSED
callTestCase,Chrome 68.0.3440.106,"
",2018-09-19 09:15:18,2018-09-19 09:15:18,"0,862s",PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-19 09:15:18,2018-09-19 09:15:19,"0,921s",PASSED
Start listener action : sampleAfterTestCase,Chrome 68.0.3440.106,,2018-09-19 09:15:19,2018-09-19 09:15:19,"0,066s",PASSED
